#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
428612408 ; 0.0404084 ; 3.10196 ; 0 ; 0
428833408 ; 0.045646 ; 3.10181 ; 0 ; 0
429030408 ; 0.0437081 ; 3.10135 ; 0 ; 0
429225408 ; 0.0452455 ; 3.10196 ; 0 ; 0
429409408 ; 0.0395158 ; 3.10478 ; 0 ; 0
429604408 ; 0.0418885 ; 3.10181 ; 0 ; 0
429817408 ; 0.0436929 ; 3.10196 ; 0 ; 0
429993408 ; 0.040912 ; 3.10394 ; 0 ; 0
430193408 ; 0.0427812 ; 3.10158 ; 0 ; 0
430401408 ; 0.0449365 ; 3.10204 ; 0 ; 0
430676408 ; 0.0421746 ; 3.10143 ; 0 ; 0
430872408 ; 0.0446313 ; 3.10165 ; 0 ; 0
431159408 ; 0.0424836 ; 3.10188 ; 0 ; 0
431404408 ; 0.0435861 ; 3.10165 ; 0 ; 0
431571408 ; 0.0426591 ; 3.10158 ; 0 ; 0
431769408 ; 0.0449632 ; 3.10158 ; 0 ; 0
431986408 ; 0.0398744 ; 3.10158 ; 0 ; 0
432193408 ; 0.0427392 ; 3.10196 ; 0 ; 0
432397408 ; 0.0420945 ; 3.10158 ; 0 ; 0
432581408 ; 0.122501 ; 3.10158 ; 0 ; 0
432766408 ; 0.115161 ; 3.10143 ; 0 ; 0
432972408 ; 0.117725 ; 3.10173 ; 0 ; 0
433117408 ; 0.115203 ; 3.1015 ; 0 ; 0
433282408 ; 0.11705 ; 3.10143 ; 0 ; 0
433517408 ; 0.116336 ; 3.10143 ; 0 ; 0
433694408 ; 0.111057 ; 3.10165 ; 0 ; 0
433875408 ; 0.122337 ; 3.10211 ; 0 ; 0
434163408 ; 0.183681 ; 3.1015 ; 0 ; 0
434373408 ; 0.186572 ; 3.10173 ; 0 ; 0
434566408 ; 0.187808 ; 3.1015 ; 0 ; 0
434781408 ; 0.200893 ; 3.10341 ; 0 ; 0
435017408 ; 0.187087 ; 3.10135 ; 0 ; 0
435219408 ; 0.198528 ; 3.1015 ; 0 ; 0
435409408 ; 0.188007 ; 3.10143 ; 0 ; 0
435595408 ; 0.192371 ; 3.10219 ; 0 ; 0
435779408 ; 0.193599 ; 3.1028 ; 0 ; 0
436007408 ; 0.0429376 ; 3.1015 ; 0 ; 0
436197408 ; 0.0429452 ; 3.10158 ; 0 ; 0
436371408 ; 0.0420983 ; 3.10135 ; 0 ; 0
436580408 ; 0.0468057 ; 3.10188 ; 0 ; 0
436772408 ; 0.0391419 ; 3.10425 ; 0 ; 0
436933408 ; 0.0449822 ; 3.10188 ; 0 ; 0
437125408 ; 0.0396531 ; 3.10341 ; 0 ; 0
437316408 ; 0.0422357 ; 3.10303 ; 0 ; 0
437504408 ; 0.518965 ; 3.1031 ; 0 ; 0
437692408 ; 0.577403 ; 3.1015 ; 0 ; 0
437943408 ; 0.561576 ; 3.1012 ; 0 ; 0
438149408 ; 0.564011 ; 3.10165 ; 0 ; 0
438391408 ; 0.576186 ; 3.10158 ; 0 ; 0
438580408 ; 0.601752 ; 3.10143 ; 0 ; 0
438810408 ; 0.574968 ; 3.10158 ; 0 ; 0
439014408 ; 0.573751 ; 3.10127 ; 0 ; 0
439249408 ; 0.578621 ; 3.1015 ; 0 ; 0
439451408 ; 0.0415147 ; 3.10158 ; 0 ; 0
439661408 ; 0.0435365 ; 3.10143 ; 0 ; 0
439914408 ; 0.0414727 ; 3.10165 ; 0 ; 0
440115408 ; 0.0417245 ; 3.10143 ; 0 ; 0
440292408 ; 0.0424264 ; 3.10181 ; 0 ; 0
440470408 ; 0.044719 ; 3.10219 ; 0 ; 0
440665408 ; 0.0433267 ; 3.1015 ; 0 ; 0
440863408 ; 0.0409883 ; 3.10143 ; 0 ; 0
441109408 ; 0.044761 ; 3.10188 ; 0 ; 0
441336408 ; 0.0394929 ; 3.10181 ; 0 ; 0
441521408 ; 0.0415338 ; 3.10158 ; 0 ; 0
441699408 ; 0.0439981 ; 3.10188 ; 0 ; 0
441896408 ; 0.0425523 ; 3.10181 ; 0 ; 0
