#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
14321408 ; -0.000149437 ; 3.10249 ; 0 ; 0
14489408 ; 0.00159388 ; 3.10265 ; 0 ; 0
14667408 ; 0.000785164 ; 3.10211 ; 0 ; 0
14859408 ; 0.00109415 ; 3.10219 ; 0 ; 0
15117408 ; 0.00121622 ; 3.10234 ; 0 ; 0
15311408 ; 0.00159388 ; 3.10234 ; 0 ; 0
15523408 ; 0.00157099 ; 3.10249 ; 0 ; 0
15728408 ; 0.00165491 ; 3.10219 ; 0 ; 0
15948408 ; 0.00144129 ; 3.10249 ; 0 ; 0
16137408 ; 0.0012353 ; 3.10257 ; 0 ; 0
16351408 ; 0.00155192 ; 3.10242 ; 0 ; 0
16579408 ; 0.000693611 ; 3.10242 ; 0 ; 0
16790408 ; 0.00173884 ; 3.10265 ; 0 ; 0
17029408 ; 0.000624946 ; 3.10219 ; 0 ; 0
17253408 ; 0.000964454 ; 3.10226 ; 0 ; 0
17476408 ; 0.00114756 ; 3.1028 ; 0 ; 0
17644408 ; 0.00044947 ; 3.10257 ; 0 ; 0
17832408 ; 0.00119334 ; 3.10204 ; 0 ; 0
18022408 ; 0.00178843 ; 3.10242 ; 0 ; 0
18217408 ; 0.0730012 ; 3.10188 ; 0 ; 0
18415408 ; 0.00169688 ; 3.10219 ; 0 ; 0
18611408 ; 0.00189143 ; 3.10226 ; 0 ; 0
18775408 ; 0.00196772 ; 3.10257 ; 0 ; 0
18952408 ; 0.000823311 ; 3.10242 ; 0 ; 0
19137408 ; 0.000666908 ; 3.10249 ; 0 ; 0
19333408 ; 0.00123911 ; 3.10219 ; 0 ; 0
19542408 ; 0.0777886 ; 3.10135 ; 0 ; 0
19734408 ; 0.000750831 ; 3.10287 ; 0 ; 0
19909408 ; 0.000796608 ; 3.10242 ; 0 ; 0
20085408 ; 0.000869087 ; 3.10234 ; 0 ; 0
20268408 ; 0.0011323 ; 3.10249 ; 0 ; 0
20497408 ; 0.00145274 ; 3.10265 ; 0 ; 0
20694408 ; 0.000857643 ; 3.10242 ; 0 ; 0
20918408 ; 0.0765527 ; 3.10173 ; 0 ; 0
21107408 ; 0.00110178 ; 3.10234 ; 0 ; 0
21291408 ; 0.00139552 ; 3.10249 ; 0 ; 0
21536408 ; 0.000933937 ; 3.10204 ; 0 ; 0
21769408 ; 0.000388435 ; 3.10219 ; 0 ; 0
21980408 ; 0.00088816 ; 3.10226 ; 0 ; 0
22174408 ; 0.000972084 ; 3.10265 ; 0 ; 0
22401408 ; 0.000930122 ; 3.10242 ; 0 ; 0
22620408 ; 0.00096064 ; 3.10234 ; 0 ; 0
22819408 ; 0.000968269 ; 3.10242 ; 0 ; 0
22997408 ; 0.00160914 ; 3.10234 ; 0 ; 0
23204408 ; 0.00122004 ; 3.10425 ; 0 ; 0
23384408 ; 0.00121622 ; 3.10364 ; 0 ; 0
23570408 ; 0.000743202 ; 3.10249 ; 0 ; 0
23800408 ; 0.0839494 ; 3.1015 ; 0 ; 0
23988408 ; 0.0933908 ; 3.10143 ; 0 ; 0
24201408 ; 0.0979913 ; 3.10158 ; 0 ; 0
24383408 ; 0.0908616 ; 3.10181 ; 0 ; 0
24539408 ; 0.0941079 ; 3.10143 ; 0 ; 0
24752408 ; 0.0969194 ; 3.10173 ; 0 ; 0
24951408 ; 0.0968278 ; 3.10165 ; 0 ; 0
25137408 ; 0.0933335 ; 3.10135 ; 0 ; 0
25349408 ; 0.0923951 ; 3.10158 ; 0 ; 0
25487408 ; 0.0899766 ; 3.10295 ; 0 ; 0
25685408 ; 0.0911096 ; 3.10143 ; 0 ; 0
25870408 ; 0.0929368 ; 3.10143 ; 0 ; 0
26066408 ; 0.0949624 ; 3.1015 ; 0 ; 0
26250408 ; 0.0952676 ; 3.10318 ; 0 ; 0
26469408 ; 0.0961679 ; 3.10135 ; 0 ; 0
26662408 ; 0.0932076 ; 3.10158 ; 0 ; 0
26865408 ; 0.0907205 ; 3.10135 ; 0 ; 0
27054408 ; 0.0884812 ; 3.10333 ; 0 ; 0
27276408 ; 0.0913575 ; 3.10135 ; 0 ; 0
27467408 ; 0.0875962 ; 3.10135 ; 0 ; 0
27673408 ; 0.0940393 ; 3.1015 ; 0 ; 0
27862408 ; 0.165614 ; 3.10143 ; 0 ; 0
28051408 ; 0.00138026 ; 3.10295 ; 0 ; 0
28295408 ; 0.000483803 ; 3.10234 ; 0 ; 0
28501408 ; 0.00172358 ; 3.10226 ; 0 ; 0
28682408 ; 0.000254921 ; 3.10257 ; 0 ; 0
28826408 ; 0.001159 ; 3.10432 ; 0 ; 0
29003408 ; 0.00160151 ; 3.10219 ; 0 ; 0
29186408 ; 0.00155192 ; 3.10249 ; 0 ; 0
29404408 ; 0.00131541 ; 3.10219 ; 0 ; 0
29600408 ; 0.000602058 ; 3.10463 ; 0 ; 0
29770408 ; 0.000869087 ; 3.10249 ; 0 ; 0
29982408 ; 6.03711e-05 ; 3.10211 ; 0 ; 0
30160408 ; 0.000468544 ; 3.10249 ; 0 ; 0
30395408 ; 0.000544838 ; 3.10234 ; 0 ; 0
30579408 ; 0.000144294 ; 3.10242 ; 0 ; 0
30799408 ; 0.00089579 ; 3.10234 ; 0 ; 0
31024408 ; 0.00202875 ; 3.10234 ; 0 ; 0
31201408 ; 0.000914863 ; 3.1044 ; 0 ; 0
31396408 ; 0.000590614 ; 3.1044 ; 0 ; 0
31574408 ; 0.000495247 ; 3.10242 ; 0 ; 0
31808408 ; 0.00118189 ; 3.10257 ; 0 ; 0
32023408 ; 0.000804237 ; 3.10265 ; 0 ; 0
32211408 ; 0.00208216 ; 3.10249 ; 0 ; 0
32422408 ; 0.00118189 ; 3.10242 ; 0 ; 0
32604408 ; 0.00118189 ; 3.10204 ; 0 ; 0
32793408 ; 0.00157862 ; 3.10257 ; 0 ; 0
33015408 ; 0.00190287 ; 3.10257 ; 0 ; 0
33191408 ; 0.000869087 ; 3.10257 ; 0 ; 0
