#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
124488408 ; 0.00172358 ; 3.10219 ; 0 ; 0
124676408 ; 0.000163368 ; 3.10226 ; 0 ; 0
124880408 ; 0.000796608 ; 3.10249 ; 0 ; 0
125097408 ; 0.000659279 ; 3.10257 ; 0 ; 0
125284408 ; 0.00152521 ; 3.10226 ; 0 ; 0
125497408 ; 0.00070124 ; 3.10387 ; 0 ; 0
125690408 ; 0.00118571 ; 3.10226 ; 0 ; 0
125880408 ; 0.000605873 ; 3.10226 ; 0 ; 0
126099408 ; 0.000628761 ; 3.10265 ; 0 ; 0
126244408 ; 0.000907234 ; 3.1041 ; 0 ; 0
126424408 ; 0.00110178 ; 3.10219 ; 0 ; 0
126651408 ; 0.00123911 ; 3.10257 ; 0 ; 0
126875408 ; 0.000933937 ; 3.10257 ; 0 ; 0
127088408 ; 0.00108271 ; 3.10219 ; 0 ; 0
127283408 ; 0.000655464 ; 3.10242 ; 0 ; 0
127463408 ; 0.0017808 ; 3.10394 ; 0 ; 0
127639408 ; 0.00128107 ; 3.10234 ; 0 ; 0
127855408 ; 9.72902 ; 3.10249 ; 0 ; 0
128090408 ; 9.94695 ; 3.10341 ; 0 ; 0
128269408 ; 9.98834 ; 3.10326 ; 0 ; 0
128492408 ; 10.0115 ; 3.10326 ; 0 ; 0
128701408 ; 10.0383 ; 3.10326 ; 0 ; 0
128885408 ; 10.0285 ; 3.10333 ; 0 ; 0
129071408 ; 10.0456 ; 3.10326 ; 0 ; 0
129261408 ; 10.0541 ; 3.10318 ; 0 ; 0
129490408 ; 10.0723 ; 3.1031 ; 0 ; 0
129709408 ; 10.0845 ; 3.1031 ; 0 ; 0
129887408 ; 10.0821 ; 3.10326 ; 0 ; 0
130073408 ; 10.1503 ; 3.10341 ; 0 ; 0
130277408 ; 10.0943 ; 3.10333 ; 0 ; 0
130454408 ; 10.0991 ; 3.10333 ; 0 ; 0
130635408 ; 10.115 ; 3.10349 ; 0 ; 0
130863408 ; 10.1223 ; 3.10318 ; 0 ; 0
131039408 ; 10.1296 ; 3.10356 ; 0 ; 0
